2026-08-22 16:50:30,138 | INFO     | eva.orchestrator.worker:152 | Starting conversation for record EMI-BENCH-0012 on port 10000
2026-08-22 16:50:30,169 | INFO     | eva.assistant.tools.tool_executor:148 | Loaded 0 tool functions from src/eva/assistant/tools/emi_tools.py
2026-08-22 16:50:30,204 | INFO     | eva.assistant.samvaad_server:284 | Samvaad EVA bridge started on ws://localhost:10000/ws
2026-08-22 16:50:30,205 | INFO     | eva.user_simulator.audio_bridge:137 | Connecting to assistant WebSocket: ws://localhost:10000/ws
2026-08-22 16:50:30,233 | INFO     | eva.user_simulator.audio_bridge:161 | Connected to assistant, starting audio tasks
2026-08-22 16:50:30,261 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/judge.yaml
2026-08-22 16:50:30,273 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/simulation.upstream.yaml
2026-08-22 16:50:30,285 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/simulation.yaml
2026-08-22 16:50:30,285 | INFO     | eva.user_simulator.elevenlabs:193 | Using agent ID from env var: EVA_EN_USER_M
2026-08-22 16:50:30,286 | INFO     | eva.user_simulator.audio_bridge:686 | Starting chunked audio sender (chunk=640 bytes, interval=20ms)
2026-08-22 16:50:30,286 | INFO     | eva.user_simulator.audio_bridge:531 | Starting continuous input stream (chunk: 2000 bytes, interval: 0.25s)
2026-08-22 16:50:30,759 | INFO     | eva.user_simulator.elevenlabs:213 | ElevenLabs conversation started successfully
2026-08-22 16:50:31,824 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:50:31,946 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-22 16:50:37,115 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 16:50:37,115 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:50:37,243 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
2026-08-22 16:50:37,243 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 16:50:38,336 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-22 16:50:38,907 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-22 16:50:39,623 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 16:50:39,623 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 16:50:40,760 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
