2026-08-22 17:05:42,634 | INFO     | eva.orchestrator.worker:152 | Starting conversation for record EMI-BENCH-0001 on port 10000
2026-08-22 17:05:42,660 | INFO     | eva.assistant.tools.tool_executor:148 | Loaded 0 tool functions from src/eva/assistant/tools/emi_tools.py
2026-08-22 17:05:42,694 | INFO     | eva.assistant.samvaad_server:284 | Samvaad EVA bridge started on ws://localhost:10000/ws
2026-08-22 17:05:42,695 | INFO     | eva.user_simulator.audio_bridge:137 | Connecting to assistant WebSocket: ws://localhost:10000/ws
2026-08-22 17:05:42,718 | INFO     | eva.user_simulator.audio_bridge:161 | Connected to assistant, starting audio tasks
2026-08-22 17:05:42,747 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/judge.yaml
2026-08-22 17:05:42,758 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/simulation.upstream.yaml
2026-08-22 17:05:42,770 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/simulation.yaml
2026-08-22 17:05:42,770 | INFO     | eva.user_simulator.elevenlabs:193 | Using agent ID from env var: EVA_EN_USER_M
2026-08-22 17:05:42,771 | INFO     | eva.user_simulator.audio_bridge:686 | Starting chunked audio sender (chunk=640 bytes, interval=20ms)
2026-08-22 17:05:42,771 | INFO     | eva.user_simulator.audio_bridge:531 | Starting continuous input stream (chunk: 2000 bytes, interval: 0.25s)
2026-08-22 17:05:43,241 | INFO     | eva.user_simulator.elevenlabs:213 | ElevenLabs conversation started successfully
2026-08-22 17:05:44,272 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 17:05:44,341 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-22 17:05:50,769 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 17:05:50,769 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 17:05:50,928 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
2026-08-22 17:05:50,929 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 17:05:52,829 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 17:05:52,829 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 17:05:53,242 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 17:06:03,243 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 17:06:03,588 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.00s
2026-08-22 17:06:03,589 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 17:06:13,245 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 17:06:19,132 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 17:06:19,133 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 17:06:19,315 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.02s
2026-08-22 17:06:19,315 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 17:06:21,376 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-22 17:06:21,376 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 17:06:23,246 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 17:06:33,247 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 17:06:37,668 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
2026-08-22 17:06:37,668 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-22 17:06:39,319 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-22 17:06:39,386 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-22 17:06:43,248 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-22 17:06:53,205 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-22 17:06:53,206 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-22 17:06:53,249 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
