2026-08-23 23:35:27,966 | INFO     | eva.orchestrator.worker:152 | Starting conversation for record EMI-VOICE-006 on port 10000
2026-08-23 23:35:27,991 | INFO     | eva.assistant.tools.tool_executor:148 | Loaded 0 tool functions from src/eva/assistant/tools/emi_tools.py
2026-08-23 23:35:28,025 | INFO     | eva.assistant.samvaad_server:284 | Samvaad EVA bridge started on ws://localhost:10000/ws
2026-08-23 23:35:28,025 | INFO     | eva.user_simulator.audio_bridge:137 | Connecting to assistant WebSocket: ws://localhost:10000/ws
2026-08-23 23:35:28,049 | INFO     | eva.user_simulator.audio_bridge:161 | Connected to assistant, starting audio tasks
2026-08-23 23:35:28,078 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/judge.yaml
2026-08-23 23:35:28,089 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/simulation.upstream.yaml
2026-08-23 23:35:28,101 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/simulation.yaml
2026-08-23 23:35:28,101 | INFO     | eva.user_simulator.elevenlabs:193 | Using agent ID from env var: EVA_EN_USER_M
2026-08-23 23:35:28,102 | INFO     | eva.user_simulator.audio_bridge:686 | Starting chunked audio sender (chunk=640 bytes, interval=20ms)
2026-08-23 23:35:28,102 | INFO     | eva.user_simulator.audio_bridge:531 | Starting continuous input stream (chunk: 2000 bytes, interval: 0.25s)
2026-08-23 23:35:28,600 | INFO     | eva.user_simulator.elevenlabs:213 | ElevenLabs conversation started successfully
2026-08-23 23:35:29,037 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-23 23:35:34,234 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
2026-08-23 23:35:34,234 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-23 23:35:38,602 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-23 23:35:48,602 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-23 23:35:51,590 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-23 23:35:51,591 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-23 23:35:51,731 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
