2026-08-21 15:07:53,129 | INFO     | eva.orchestrator.worker:152 | Starting conversation for record EMI-VOICE-002 on port 10001
2026-08-21 15:07:53,133 | INFO     | eva.assistant.tools.tool_executor:148 | Loaded 0 tool functions from src/eva/assistant/tools/emi_tools.py
2026-08-21 15:07:53,148 | INFO     | eva.assistant.samvaad_server:279 | Samvaad EVA bridge started on ws://localhost:10001/ws
2026-08-21 15:07:53,148 | INFO     | eva.user_simulator.audio_bridge:137 | Connecting to assistant WebSocket: ws://localhost:10001/ws
2026-08-21 15:07:53,216 | INFO     | eva.user_simulator.audio_bridge:161 | Connected to assistant, starting audio tasks
2026-08-21 15:07:53,244 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/judge.yaml
2026-08-21 15:07:53,257 | INFO     | eva.utils.prompt_manager:70 | Loaded prompts from /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/research/upstream/eva/configs/prompts/simulation.yaml
2026-08-21 15:07:53,257 | INFO     | eva.user_simulator.elevenlabs:193 | Using agent ID from env var: EVA_EN_USER_M
2026-08-21 15:07:53,258 | INFO     | eva.user_simulator.audio_bridge:686 | Starting chunked audio sender (chunk=640 bytes, interval=20ms)
2026-08-21 15:07:53,258 | INFO     | eva.user_simulator.audio_bridge:531 | Starting continuous input stream (chunk: 2000 bytes, interval: 0.25s)
2026-08-21 15:07:53,669 | INFO     | eva.user_simulator.elevenlabs:213 | ElevenLabs conversation started successfully
2026-08-21 15:07:54,701 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-21 15:07:55,263 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-21 15:07:58,323 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-21 15:08:00,174 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-21 15:08:00,175 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-21 15:08:00,251 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 1.93s
2026-08-21 15:08:00,251 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-21 15:08:03,670 | INFO     | eva.user_simulator.elevenlabs:447 | 📡 Sent keep-alive ping to ElevenLabs (1/12)
2026-08-21 15:08:03,924 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-21 15:08:03,992 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-21 15:08:03,992 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-21 15:08:13,671 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-21 15:08:16,857 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-21 15:08:17,398 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.54s
2026-08-21 15:08:17,399 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-21 15:08:19,006 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-21 15:08:19,562 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-21 15:08:21,132 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-21 15:08:23,672 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-21 15:08:33,674 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-21 15:08:34,847 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-21 15:08:38,155 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-21 15:08:38,157 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-21 15:08:38,252 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 3.40s
2026-08-21 15:08:38,252 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-21 15:08:40,472 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (436 bytes padded to 640) - end of utterance
2026-08-21 15:08:40,472 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-21 15:08:40,674 | INFO     | eva.user_simulator.audio_bridge:490 | ✅ Assistant responded after 0.20s - stopping assistant silence
2026-08-21 15:08:40,674 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-21 15:08:43,676 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-21 15:08:53,677 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-21 15:08:55,665 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-21 15:08:57,287 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 1.62s
2026-08-21 15:08:57,287 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-21 15:09:03,678 | INFO     | eva.user_simulator.elevenlabs:447 | 📡 Sent keep-alive ping to ElevenLabs (1/12)
2026-08-21 15:09:04,099 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-21 15:09:10,443 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (204 bytes padded to 640) - end of utterance
2026-08-21 15:09:10,443 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-21 15:09:10,522 | INFO     | eva.user_simulator.audio_bridge:419 | 🎤 User audio START - stopping user silence after 0.01s
2026-08-21 15:09:10,522 | INFO     | eva.user_simulator.audio_bridge:423 | 🎤 User audio START
2026-08-21 15:09:11,174 | INFO     | eva.user_simulator.audio_bridge:515 | 🔊 Assistant audio END (silence detected)
2026-08-21 15:09:11,663 | INFO     | eva.user_simulator.audio_bridge:759 | Sent padded chunk (272 bytes padded to 640) - end of utterance
2026-08-21 15:09:11,663 | INFO     | eva.user_simulator.audio_bridge:463 | 🎤 User audio END
2026-08-21 15:09:12,615 | INFO     | eva.user_simulator.audio_bridge:490 | ✅ Assistant responded after 0.95s - stopping assistant silence
2026-08-21 15:09:12,615 | INFO     | eva.user_simulator.audio_bridge:497 | 🔊 Assistant audio START
2026-08-21 15:09:13,679 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-21 15:09:23,680 | INFO     | eva.user_simulator.elevenlabs:444 | 🔊 Assistant still speaking - resetting inactivity counter
2026-08-21 15:09:28,278 | INFO     | eva.user_simulator.audio_bridge:642 | Assistant ended conversation: assistant_completed
2026-08-21 15:09:28,278 | INFO     | eva.user_simulator.base:145 | Conversation end signaled: assistant_completed
2026-08-21 15:09:28,278 | INFO     | eva.user_simulator.audio_bridge:663 | 🔊 Assistant audio END (connection closed)
2026-08-21 15:09:28,278 | INFO     | eva.user_simulator.elevenlabs:222 | Conversation ended: assistant_completed
2026-08-21 15:09:28,279 | INFO     | eva.user_simulator.elevenlabs:463 | Keep-alive task cancelled
2026-08-21 15:09:28,279 | INFO     | eva.user_simulator.elevenlabs:242 | Ending ElevenLabs session...
2026-08-21 15:09:28,279 | INFO     | eva.user_simulator.audio_bridge:184 | User simulator audio bridge stop() called
2026-08-21 15:09:28,279 | INFO     | eva.user_simulator.audio_bridge:191 | Signaling conversation end: session_ended
2026-08-21 15:09:43,721 | INFO     | eva.user_simulator.elevenlabs:383 | Conversation transcript available but no end_call tool found
2026-08-21 15:09:45,139 | INFO     | eva.user_simulator.elevenlabs:406 | Saved ElevenLabs server-side audio to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_pilots/emi_eva_v16_pilots_20260821_150628/records/EMI-VOICE-002/elevenlabs_audio_recording.mp3
2026-08-21 15:09:45,140 | INFO     | eva.user_simulator.elevenlabs:289 | Saved 2 response latencies to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_pilots/emi_eva_v16_pilots_20260821_150628/records/EMI-VOICE-002/response_latencies.json
2026-08-21 15:09:45,141 | INFO     | eva.user_simulator.base:182 | Saved clean user audio to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_pilots/emi_eva_v16_pilots_20260821_150628/records/EMI-VOICE-002/audio_user_clean.wav
2026-08-21 15:09:45,141 | INFO     | eva.user_simulator.elevenlabs:296 | Waiting 4s for assistant STT to finish last utterance...
2026-08-21 15:09:49,142 | INFO     | eva.user_simulator.audio_bridge:244 | Audio interface stopped
2026-08-21 15:09:49,145 | INFO     | eva.user_simulator.event_logger:182 | Saved 41 user simulator events to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_pilots/emi_eva_v16_pilots_20260821_150628/records/EMI-VOICE-002/user_simulator_events.jsonl
2026-08-21 15:09:49,146 | INFO     | eva.orchestrator.worker:173 | Conversation EMI-VOICE-002 ended: assistant_completed
2026-08-21 15:10:16,355 | INFO     | eva.assistant.agentic.audit_log:411 | Audit log saved to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_pilots/emi_eva_v16_pilots_20260821_150628/records/EMI-VOICE-002/audit_log.json
2026-08-21 15:10:16,356 | INFO     | eva.assistant.base_server:319 | Saved scenario database states to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_pilots/emi_eva_v16_pilots_20260821_150628/records/EMI-VOICE-002
2026-08-21 15:10:16,356 | INFO     | eva.assistant.base_server:241 | Outputs saved to /Users/Arnav/Claude/Projects/Sarvam/voice-agent-improvement/artifacts/eva_pilots/emi_eva_v16_pilots_20260821_150628/records/EMI-VOICE-002
2026-08-21 15:10:16,357 | INFO     | eva.orchestrator.worker:234 | Computed scenario DB hashes - Initial: 8447e863..., Final: b43fa65f...
